Name,Location,Price,Ratings,Reviews,Reviews Score
Hotel White House,Kolkata,2450,Review score,Review score,79
FabExpress Amar Raj Villa - Nr Eco Park,"New Town, Kolkata",1150,Good,Good,67
Offbeat CCU,Kolkata,2699,Good,Good,240
Hotel Gallery 67,Kolkata,3750,Good,Good,20
HOTEL GULSHAN INTERNATIONAL,Kolkata,1620,Review score,Review score,19
Polo Floatel Kolkata,Kolkata,4799,Good,Good,398
Hotel Samrat near Victoria Memorial !! Couple Friendly Hotel !!,Kolkata,1125,Review score,Review score,4
Golden Heaven Hotel,Kolkata,1160,Review score,Review score,284
Urban Cliff A Boutique Hotel,Kolkata,1439,Review score,Review score,24
Barsana Boutique Hotel - Pure vegetarian,Kolkata,6601,Very Good,Very Good,121
Hotel O Profulla Devi Guest House,Kolkata,1088,Very Good,Very Good,37
Hotel KGF,"Ballygunge, Kolkata",1239,Review score,Review score,1
Hotel O Golden Palace,Kolkata,789,Review score,Review score,39
Aster Guest House,"Park Street, Kolkata",3400,Review score,Review score,148
FabHotel Aqua Tulip - Nr Milan Mela,Kolkata,1795,Review score,Review score,144
Super Hotel O Tagore Park Ruby Road,Kolkata,1515,Review score,Review score,21
Hotel O Binayak Inn,Kolkata,691,Review score,Review score,23
Yepplo Service Apartments - KOLKATA - Private Kitchen & Daily Housekeeping Service,Kolkata,4050,Wonderful,Wonderful,7
FabHotel Rani Tower - Chinar Park,Kolkata,1609,Good,Good,59
Jagannath Residency And Prasadam,Kolkata,1215,Review score,Review score,39
Hotel Majestic,Kolkata,2963,Review score,Review score,102
Hotel Green leaf by stayeasy near Ruby,Kolkata,1330,Excellent,Excellent,7
Hotel Royal Crowne near Kolkata Airport,Kolkata,1174,Review score,Review score,323
Meraki Inn Saltlake,"Salt Lake, Kolkata",2519,Review score,Review score,65
FabHotel Kzar Select - 2km from Park Street,Kolkata,1902,Good,Good,84
Hotel Bengal -100m from Park Circus 7 Point,"Ballygunge, Kolkata",1395,Good,Good,285
Treebo Glassotel,Kolkata,1818,Good,Good,157
The Lake Palm Hotel,"Kalighat, Kolkata",2700,Good,Good,26
Hotel O Classic International,Kolkata,1137,Review score,Review score,4
Super Hotel O New Town Near Kolkata Airport,"New Town, Kolkata",1037,Review score,Review score,39
FabHotel Prime Rockstar Suites,Kolkata,2286,Good,Good,41
Collection O G.N Palace,Kolkata,3213,Review score,Review score,52
Treebo Pawan Putra,Kolkata,1746,Good,Good,110
Hotel Rayan Inn,Kolkata,1458,Review score,Review score,10
Treebo Premium Tahoora International,Kolkata,3298,Good,Good,211
Astoria Hotel,Kolkata,2880,Review score,Review score,182
The Avenue Hotel Ballygunge,"Ballygunge, Kolkata",5413,Review score,Review score,132
Super Collection O New Town Near Ahrini Market formerly Puja Residency,"New Town, Kolkata",966,Good,Good,7
Hotel O Galaxy,Kolkata,1505,Review score,Review score,10
Garden Guest House near Rene tower Ruby general hospital,Kolkata,1635,Good,Good,8
ANANDALOKE RESIDENCY,Kolkata,1283,Good,Good,121
Hotel Bandhan Residency,Kolkata,1975,Good,Good,181
HOTEL PARK VICTORIA,Kolkata,2100,Review score,Review score,259
Super Hotel O The Orchid Residency,Kolkata,957,Review score,Review score,33
Hotel Airlines,Kolkata,1596,Review score,Review score,185
Monotel,"Salt Lake, Kolkata",3395,Review score,Review score,112
Celesta - Kolkata,Kolkata,3250,Review score,Review score,77
The Aster Homestay - Bedrooms & Apartments,"Kalighat, Kolkata",3100,Good,Good,40
Super Hotel O Santragachi Junction Formerly Hotel Shubra,Kolkata,2019,Exceptional,Exceptional,15
Hotel Radiant,Kolkata,2232,Review score,Review score,20
FabHotel Lake View Topsia,Kolkata,1552,Exceptional,Exceptional,1
The Maureen,Kolkata,3869,Excellent,Excellent,20
FabHotel Sivalika Inn - Belur Math,Kolkata,1840,Very Good,Very Good,36
ICY White Rose,"Ballygunge, Kolkata",1296,Exceptional,Exceptional,2
Hotel O Kuber Residency Near Birla Mandir,Kolkata,872,Review score,Review score,20
Shaw Guest House,Kolkata,1099,Wonderful,Wonderful,1
